definition1,sensekey1,relation,sensekey2,definition2
exercise authoritative control or power over,command%2:41:00::,agent,commander%1:18:01::,a commissioned naval officer who ranks above a lieutenant commander and below a captain
exercise authoritative control or power over,command%2:41:00::,agent,commander%1:18:02::,an officer in the airforce
exercise authoritative control or power over,command%2:41:00::,agent,commander%1:18:03::,someone in an official position of authority who can command or control others
"call to remembrance; keep alive the memory of someone or something, as in a ceremony",commemorate%2:31:00::,event,commemoration%1:11:00::,a ceremony to honor the memory of someone or something
be or provide a memorial to a person or an event,commemorate%2:31:01::,event,commemoration%1:10:00::,a recognition of meritorious service
celebrate by some ceremony or observation,commemorate%2:31:02::,event,commemoration%1:11:00::,a ceremony to honor the memory of someone or something
take the first step or steps in carrying out an action,commence%2:30:00::,event,commencement%1:04:00::,the act of starting something
"set in motion, cause to start",commence%2:30:01::,event,commencement%1:04:00::,the act of starting something
get off the ground,commence%2:36:00::,event,commencement%1:04:00::,the act of starting something
express approbation of,commend%2:32:00::,by means of,commendation%1:10:00::,an official award (as for bravery or service) usually given as formal public statement
express approbation of,commend%2:32:00::,by means of,commendation%1:10:01::,a message expressing a favorable opinion
express a good opinion of,commend%2:32:02::,by means of,commendation%1:10:01::,a message expressing a favorable opinion
"present as worthy of regard, kindness, or confidence",commend%2:36:00::,by means of,commendation%1:10:01::,a message expressing a favorable opinion
make or write a comment on,comment%2:32:00::,result,comment%1:10:00::,a statement that expresses a personal opinion or belief or adds information
make or write a comment on,comment%2:32:00::,event,comment%1:10:00::,a statement that expresses a personal opinion or belief or adds information
provide interlinear explanations for words or phrases,comment%2:32:01::,event,comment%1:10:01::,a written explanation or criticism or illustration that is added to a book or other textual material
provide interlinear explanations for words or phrases,comment%2:32:01::,by means of,comment%1:10:01::,a written explanation or criticism or illustration that is added to a book or other textual material
explain or interpret something,comment%2:32:10::,event,comment%1:10:01::,a written explanation or criticism or illustration that is added to a book or other textual material
explain or interpret something,comment%2:32:10::,by means of,comment%1:10:01::,a written explanation or criticism or illustration that is added to a book or other textual material
"serve as a commentator, as in sportscasting",commentate%2:32:00::,event,comment%1:10:00::,a statement that expresses a personal opinion or belief or adds information
"serve as a commentator, as in sportscasting",commentate%2:32:00::,agent,commentator%1:18:01::,an expert who observes and comments on something
make a commentary on,commentate%2:32:11::,event,comment%1:10:01::,a written explanation or criticism or illustration that is added to a book or other textual material
make a commentary on,commentate%2:32:11::,agent,commentator%1:18:00::,a writer who reports and analyzes events of the day
make commercial,commercialise%2:30:00::,event,commercialisation%1:04:00::,the act of commercializing something; involving something in commerce
make commercial,commercialize%2:30:00::,event,commercialization%1:04:00::,the act of commercializing something; involving something in commerce
to feel or express sympathy or compassion,commiserate%2:37:00::,event,commiseration%1:10:00::,an expression of sympathy with another's grief
to feel or express sympathy or compassion,commiserate%2:37:00::,state,commiseration%1:12:00::,a feeling of sympathy and sorrow for the misfortunes of others
charge with a task,commission%2:41:00::,event,commission%1:04:00::,a special assignment that is given to a person or group
charge with a task,commission%2:41:00::,agent,commissioner%1:18:00::,a government administrator
put into commission; equip for service; of ships,commission%2:41:01::,state,commission%1:26:00::,the state of being in good working order and ready for operation
place an order for,commission%2:41:02::,event,commission%1:10:01::,a formal statement of a command or injunction to do something
"give entirely to a specific person, activity, or cause",commit%2:32:01::,event,commitment%1:04:00::,the act of binding yourself (intellectually or emotionally) to a course of action
confer a trust upon,commit%2:40:00::,undergoer,committee%1:14:00::,a special group delegated to consider some matter
cause to be admitted; of persons to an institution,commit%2:40:02::,event,commitment%1:04:01::,the official act of consigning a person to confinement (as in a prison or mental hospital)
cause to be admitted; of persons to an institution,commit%2:40:02::,event,committal%1:04:00::,the official act of consigning a person to confinement (as in a prison or mental hospital)
make an investment,commit%2:40:05::,event,commitment%1:04:02::,an engagement by contract involving financial obligation
"perform an act, usually with a negative connotation",commit%2:41:00::,event,commission%1:04:01::,the act of committing a crime
"perform an act, usually with a negative connotation",commit%2:41:00::,event,committal%1:04:01::,the act of committing a crime
"receive Communion, in the Catholic church",commune%2:32:01::,event,communion%1:04:01::,the act of participating in the celebration of the Eucharist
"communicate intimately with; be in a state of heightened, intimate receptivity",commune%2:32:02::,event,communion%1:10:00::,sharing thoughts and feelings
transmit thoughts or feelings,communicate%2:32:00::,undergoer,communication%1:03:00::,something that is communicated by or to or between people or groups
transmit thoughts or feelings,communicate%2:32:00::,event,communication%1:10:01::,the activity of communicating; the activity of conveying information
transmit thoughts or feelings,communicate%2:32:00::,agent,communicator%1:18:00::,a person who communicates with others
transmit information,communicate%2:32:01::,undergoer,communication%1:03:00::,something that is communicated by or to or between people or groups
transmit information,communicate%2:32:01::,event,communication%1:10:01::,the activity of communicating; the activity of conveying information
transmit information,communicate%2:32:01::,by means of,communication%1:24:00::,a connection allowing access between persons or places
transmit information,communicate%2:32:01::,agent,communicator%1:18:00::,a person who communicates with others
be in verbal contact; interchange information or ideas,communicate%2:32:02::,undergoer,communication%1:03:00::,something that is communicated by or to or between people or groups
be in verbal contact; interchange information or ideas,communicate%2:32:02::,event,communication%1:10:01::,the activity of communicating; the activity of conveying information
be in verbal contact; interchange information or ideas,communicate%2:32:02::,agent,communicator%1:18:00::,a person who communicates with others
"receive Communion, in the Catholic church",communicate%2:32:07::,undergoer,communication%1:03:00::,something that is communicated by or to or between people or groups
administer Communion; in church,communicate%2:32:08::,undergoer,communication%1:03:00::,something that is communicated by or to or between people or groups
join or connect,communicate%2:35:00::,event,communication%1:24:00::,a connection allowing access between persons or places
transfer to another,communicate%2:40:10::,undergoer,communication%1:03:00::,something that is communicated by or to or between people or groups
make into property owned by the state,communise%2:30:00::,event,communisation%1:04:01::,a change from private property to public property owned by the community
make Communist or bring in accord with Communist principles,communise%2:30:01::,result,communisation%1:04:00::,the organization of a nation of the basis of communism
make into property owned by the state,communize%2:30:00::,event,communization%1:04:02::,changing something from private to state ownership or control
make Communist or bring in accord with Communist principles,communize%2:30:01::,result,communization%1:04:00::,the organization of a nation of the basis of communism
reverse the direction of (an alternating electric current) each half cycle so as to produce a unidirectional current,commutate%2:30:00::,instrument,commutator%1:06:00::,switch for reversing the direction of an electric current
change the order or arrangement of,commute%2:30:00::,event,commutation%1:04:02::,the act of putting one thing or person in the place of another:
exchange a penalty for a less severe one,commute%2:30:01::,event,commutation%1:04:01::,(law) the reduction in severity of a punishment imposed by law
exchange a penalty for a less severe one,commute%2:30:01::,by means of,commutation%1:10:00::,a warrant substituting a lesser punishment for a greater one
"exchange or replace with another, usually of the same kind or category",commute%2:30:02::,by means of,commutation%1:10:00::,a warrant substituting a lesser punishment for a greater one
exchange positions without a change in value,commute%2:30:04::,event,commutation%1:04:02::,the act of putting one thing or person in the place of another:
"travel back and forth regularly, as between one's place of work and home",commute%2:38:00::,event,commutation%1:04:00::,the travel of a commuter
"travel back and forth regularly, as between one's place of work and home",commute%2:38:00::,vehicle,commuter%1:06:00::,a passenger train that is ridden primarily by passengers who travel regularly from one place to another
"travel back and forth regularly, as between one's place of work and home",commute%2:38:00::,agent,commuter%1:18:00::,someone who travels regularly from home in a suburb to work in a city
compress into a wad,compact%2:35:02::,event,compaction%1:04:00::,the act of crushing
make more compact by or as if by pressing,compact%2:35:03::,event,compaction%1:04:00::,the act of crushing
have the property of being packable or of compacting easily,compact%2:35:09::,event,compaction%1:11:00::,an increase in the density of something
be a companion to somebody,companion%2:42:00::,agent,companion%1:18:00::,a friend who is frequently in the company of another
be a companion to somebody,companion%2:42:00::,agent,companion%1:18:01::,one paid to accompany or assist or live with another
be a companion to somebody,companion%2:42:00::,agent,companion%1:18:02::,a traveler who accompanies you
examine and note the similarities or differences of,compare%2:31:00::,property,compare%1:07:00::,qualities that are comparable
"consider or describe as similar, equal, or analogous",compare%2:31:01::,property,compare%1:07:00::,qualities that are comparable
be comparable,compare%2:42:00::,property,compare%1:07:00::,qualities that are comparable
separate into isolated compartments or categories,compartmentalise%2:30:00::,location,compartment%1:06:00::,"a partitioned section, chamber, or separate room within a larger enclosed area"
separate into isolated compartments or categories,compartmentalise%2:30:00::,location,compartment%1:06:01::,a space into which an area is subdivided
separate into isolated compartments or categories,compartmentalise%2:30:00::,event,compartmentalisation%1:04:00::,the act of distributing things into classes or categories of the same type
separate into isolated compartments or categories,compartmentalise%2:30:00::,state,compartmentalisation%1:26:00::,a mild state of dissociation
separate into isolated compartments or categories,compartmentalize%2:30:00::,location,compartment%1:06:00::,"a partitioned section, chamber, or separate room within a larger enclosed area"
separate into isolated compartments or categories,compartmentalize%2:30:00::,location,compartment%1:06:01::,a space into which an area is subdivided
separate into isolated compartments or categories,compartmentalize%2:30:00::,event,compartmentalization%1:04:00::,the act of distributing things into classes or categories of the same type
separate into isolated compartments or categories,compartmentalize%2:30:00::,state,compartmentalization%1:26:00::,a mild state of dissociation
bring about; accomplish,compass%2:41:00::,location,compass%1:07:00::,an area in which something acts or operates or has power or control:
bring about; accomplish,compass%2:41:00::,property,compass%1:09:00::,the limit of capability
share the suffering of,compassionate%2:37:00::,property,compassion%1:07:00::,the humane quality of understanding the suffering of others and wanting to do something about it
share the suffering of,compassionate%2:37:00::,property,compassion%1:12:00::,a deep awareness of and sympathy for another's suffering
force somebody to do something,compel%2:41:00::,event,compulsion%1:04:00::,using force to cause something to occur
make payment to; compensate,compensate%2:40:00::,event,compensation%1:04:00::,the act of compensating for service or loss or injury
make payment to; compensate,compensate%2:40:00::,undergoer,compensation%1:21:00::,something (such as money) given or received as payment or reparation (as for a service or loss or injury)
make amends for; pay compensation for,compensate%2:40:01::,event,compensation%1:04:00::,the act of compensating for service or loss or injury
make amends for; pay compensation for,compensate%2:40:01::,undergoer,compensation%1:21:00::,something (such as money) given or received as payment or reparation (as for a service or loss or injury)
do or give something to somebody in return,compensate%2:40:02::,event,compensation%1:04:00::,the act of compensating for service or loss or injury
do or give something to somebody in return,compensate%2:40:02::,undergoer,compensation%1:21:00::,something (such as money) given or received as payment or reparation (as for a service or loss or injury)
make reparations or amends for,compensate%2:41:00::,event,compensation%1:04:00::,the act of compensating for service or loss or injury
make reparations or amends for,compensate%2:41:00::,undergoer,compensation%1:21:00::,something (such as money) given or received as payment or reparation (as for a service or loss or injury)
adjust for,compensate%2:42:00::,event,compensation%1:04:00::,the act of compensating for service or loss or injury
make up for shortcomings or a feeling of inferiority by exaggerating good qualities,compensate%2:42:03::,event,compensation%1:22:00::,(psychiatry) a defense mechanism that conceals your undesirable shortcomings by exaggerating desirable behaviors
compete for something; engage in a contest; measure oneself against others,compete%2:33:00::,event,competition%1:04:00::,the act of competing as for profit or a prize
compete for something; engage in a contest; measure oneself against others,compete%2:33:00::,agent,competitor%1:18:00::,the contestant you hope to defeat
put together out of existing material,compile%2:36:00::,event,compilation%1:04:00::,the act of compiling (as into a single book or file or list)
put together out of existing material,compile%2:36:00::,undergoer,compilation%1:10:00::,something that is compiled (as into a single book or file)
put together out of existing material,compile%2:36:00::,agent,compiler%1:18:00::,a person who compiles information (as for reference purposes)
use a computer program to translate source code written in a particular programming language into computer-readable machine code that can be executed,compile%2:36:01::,event,compilation%1:04:00::,the act of compiling (as into a single book or file or list)
use a computer program to translate source code written in a particular programming language into computer-readable machine code that can be executed,compile%2:36:01::,instrument,compiler%1:10:00::,(computer science) a program that decodes instructions written in a higher order language and produces an assembly language program
get or gather together,compile%2:40:00::,event,compilation%1:04:00::,the act of compiling (as into a single book or file or list)
get or gather together,compile%2:40:00::,undergoer,compilation%1:10:00::,something that is compiled (as into a single book or file)
"express complaints, discontent, displeasure, or unhappiness",complain%2:32:00::,agent,complainer%1:18:00::,a person given to excessive complaints and crying and whining
be interwoven or interconnected,complect%2:42:00::,result,complexion%1:14:00::,a combination that results from coupling or interlinking
make complete or perfect; supply what is wanting or form the complement to,complement%2:30:02::,by means of,complement%1:07:00::,something added to complete or embellish or make perfect
come or bring to a finish or an end,complete%2:30:02::,event,completion%1:04:00::,a concluding action
complete a pass,complete%2:33:00::,event,completion%1:04:02::,(American football) a successful forward pass in football
make complex,complexify%2:30:00::,agent,complexifier%1:18:00::,someone makes things complex
make complex,complexify%2:30:00::,result,complexity%1:07:00::,the quality of being intricate and compounded
give a certain color to,complexion%2:30:00::,result,complexion%1:07:00::,the coloring of a person's face
give a certain color to,complexion%2:30:00::,result,complexion%1:07:02::,texture and appearance of the skin of the face
make more complicated,complicate%2:30:00::,event,complication%1:04:00::,the act or process of complicating
make more complicated,complicate%2:30:00::,event,complication%1:11:00::,a development that complicates a situation
make more complicated,complicate%2:30:00::,event,complication%1:26:00::,a situation or condition that is complex or confused
make more complicated,complicate%2:30:00::,event,complication%1:26:01::,any disease or disorder that occurs during the course of (or because of) another disease
"make more complex, intricate, or richer",complicate%2:30:01::,event,complication%1:04:00::,the act or process of complicating
"make more complex, intricate, or richer",complicate%2:30:01::,event,complication%1:07:00::,puzzling complexity
say something to someone that expresses praise,compliment%2:32:00::,event,compliment%1:10:00::,a remark (or act) expressing praise and admiration
say something to someone that expresses praise,compliment%2:32:00::,undergoer,compliment%1:10:00::,a remark (or act) expressing praise and admiration
"act in accordance with someone's rules, commands, or wishes",comply%2:41:00::,event,compliance%1:04:02::,acting according to certain accepted standards
behave well or properly,comport%2:41:00::,event,comportment%1:07:00::,dignified manner or conduct
produce a literary work,compose%2:36:01::,event,composition%1:04:01::,the act of creating written works
write music,compose%2:36:03::,agent,composer%1:18:00::,"someone who composes music, usually as a profession"
write music,compose%2:36:03::,result,composition%1:04:02::,musical creation
write music,compose%2:36:03::,result,composition%1:10:01::,a musical work that has been created
put together out of existing material,compose%2:36:09::,agent,compositor%1:18:00::,one who sets written material into type
convert to compost,compost%2:30:00::,result,compost%1:27:00::,a mixture of decaying vegetation and manure; used as a fertilizer
put or add together,compound%2:30:00::,result,compound%1:09:00::,a whole formed by a union of two or more elements or parts
combine so as to form a whole; mix,compound%2:35:00::,result,compound%1:09:00::,a whole formed by a union of two or more elements or parts
create by mixing or combining,compound%2:36:00::,result,compound%1:09:00::,a whole formed by a union of two or more elements or parts
create by mixing or combining,compound%2:36:00::,result,compound%1:27:00::,(chemistry) a substance formed by chemical union of two or more elements or ingredients in definite proportion by weight
get the meaning of something,comprehend%2:31:00::,property,comprehension%1:09:00::,an ability to understand the meaning or importance of something (or the knowledge acquired as a result)
to become aware of through the senses,comprehend%2:39:00::,property,comprehension%1:09:00::,an ability to understand the meaning or importance of something (or the knowledge acquired as a result)
include in scope; include as part of something broader; have as one's sphere or territory,comprehend%2:42:00::,state,comprehension%1:24:00::,the relation of comprising something
squeeze or press together,compress%2:35:00::,event,compression%1:04:00::,applying pressure
squeeze or press together,compress%2:35:00::,event,compression%1:11:00::,the process or result of becoming smaller or pressed together
squeeze or press together,compress%2:35:00::,instrument,compressor%1:06:00::,a mechanical device that compresses gasses
make more compact by or as if by pressing,compress%2:35:01::,event,compression%1:04:01::,encoding information while reducing the bandwidth or bits required
settle by concession,compromise%2:32:00::,event,compromise%1:04:00::,a middle way between two extremes
settle by concession,compromise%2:32:00::,event,compromise%1:10:00::,an accommodation in which both sides make concessions
make a compromise; arrive at a compromise,compromise%2:32:01::,event,compromise%1:04:00::,a middle way between two extremes
make a compromise; arrive at a compromise,compromise%2:32:01::,event,compromise%1:10:00::,an accommodation in which both sides make concessions
make a mathematical calculation or computation,compute%2:31:00::,event,computation%1:04:00::,the procedure of calculating; determining something by mathematical or logical methods
make a mathematical calculation or computation,compute%2:31:00::,event,computation%1:09:00::,problem solving that involves numbers or quantities
make a mathematical calculation or computation,compute%2:31:00::,instrument,computer%1:06:00::,a machine for performing calculations automatically
make a mathematical calculation or computation,compute%2:31:00::,agent,computer%1:18:00::,an expert at calculation (or at operating calculating machines)
"control a function, process, or creation by a computer",computerise%2:36:00::,instrument,computer%1:06:00::,a machine for performing calculations automatically
"control a function, process, or creation by a computer",computerise%2:36:00::,agent,computer%1:18:00::,an expert at calculation (or at operating calculating machines)
store in a computer,computerise%2:40:00::,instrument,computer%1:06:00::,a machine for performing calculations automatically
provide with computers,computerise%2:40:01::,instrument,computer%1:06:00::,a machine for performing calculations automatically
"control a function, process, or creation by a computer",computerize%2:36:00::,instrument,computer%1:06:00::,a machine for performing calculations automatically
"control a function, process, or creation by a computer",computerize%2:36:00::,event,computerization%1:04:00::,the control of processes by computer
store in a computer,computerize%2:40:00::,instrument,computer%1:06:00::,a machine for performing calculations automatically
provide with computers,computerize%2:40:01::,instrument,computer%1:06:00::,a machine for performing calculations automatically
deprive of by deceit,con%2:41:00::,event,con%1:04:00::,a swindle in which you cheat at gambling or persuade a person to buy worthless property
add by linking or joining so as to form a chain or series,concatenate%2:30:00::,state,concatenation%1:04:00::,the act of linking together as in a series or chain
combine two strings to form a single one,concatenate%2:35:00::,state,concatenation%1:26:00::,the state of being linked together as in a chain; union in a linked series
hold back; keep from being perceived by others,conceal%2:39:00::,event,concealment%1:04:00::,the activity of keeping something secret
prevent from being seen or discovered,conceal%2:39:01::,state,concealment%1:26:00::,the condition of being concealed or hidden
be willing to concede,concede%2:32:01::,state,concession%1:10:02::,the act of conceding or yielding
acknowledge defeat,concede%2:33:00::,state,concession%1:10:02::,the act of conceding or yielding
give over; surrender or relinquish to the physical control of another,concede%2:40:00::,state,concession%1:10:02::,the act of conceding or yielding
become pregnant; undergo conception,conceive%2:29:00::,event,conception%1:04:01::,the act of becoming pregnant; fertilization of an ovum by a spermatozoon
have the idea for,conceive%2:36:00::,agent,conceiver%1:18:00::,someone who creates new things
have the idea for,conceive%2:36:00::,event,conception%1:09:03::,the creation of something in the mind
cook until very little liquid is left,concentrate%2:30:00::,result,concentrate%1:13:00::,a concentrated form of a foodstuff; the bulk is reduced by removing water
cook until very little liquid is left,concentrate%2:30:00::,event,concentration%1:04:01::,strengthening the concentration (as of a solute in a mixture) by removing diluting material
cook until very little liquid is left,concentrate%2:30:00::,event,concentration%1:11:00::,increase in density
"make denser, stronger, or purer",concentrate%2:30:01::,result,concentrate%1:27:00::,the desired mineral that is left after impurities have been removed from mined ore
"make denser, stronger, or purer",concentrate%2:30:01::,event,concentration%1:04:01::,strengthening the concentration (as of a solute in a mixture) by removing diluting material
"make denser, stronger, or purer",concentrate%2:30:01::,result,concentration%1:07:02::,the strength of a solution; number of molecules of a substance in a given volume
"make denser, stronger, or purer",concentrate%2:30:01::,event,concentration%1:11:00::,increase in density
be cooked until very little liquid is left,concentrate%2:30:03::,result,concentrate%1:13:00::,a concentrated form of a foodstuff; the bulk is reduced by removing water
be cooked until very little liquid is left,concentrate%2:30:03::,event,concentration%1:04:01::,strengthening the concentration (as of a solute in a mixture) by removing diluting material
be cooked until very little liquid is left,concentrate%2:30:03::,event,concentration%1:11:00::,increase in density
make more concise,concentrate%2:30:07::,event,concentration%1:04:01::,strengthening the concentration (as of a solute in a mixture) by removing diluting material
compress or concentrate,concentrate%2:30:12::,event,concentration%1:04:01::,strengthening the concentration (as of a solute in a mixture) by removing diluting material
direct one's attention on something,concentrate%2:31:00::,state,concentration%1:07:01::,great and constant diligence and attention
direct one's attention on something,concentrate%2:31:00::,state,concentration%1:09:00::,complete attention; intense mental effort
draw together or meet in one common center,concentrate%2:38:00::,event,concentration%1:04:02::,bringing together military forces
draw together or meet in one common center,concentrate%2:38:00::,property,concentration%1:07:03::,the spatial property of being crowded together
have the idea for,conceptualise%2:36:00::,event,conceptualisation%1:04:00::,inventing or contriving an idea or explanation and formulating it mentally
have the idea for,conceptualise%2:36:00::,event,conceptualisation%1:09:00::,an elaborated concept
have the idea for,conceptualize%2:36:00::,event,conceptualization%1:04:00::,inventing or contriving an idea or explanation and formulating it mentally
have the idea for,conceptualize%2:36:00::,event,conceptualization%1:09:00::,an elaborated concept
be on the mind of,concern%2:42:01::,by means of,concern%1:09:01::,something or someone that causes anxiety; a source of unhappiness
be on the mind of,concern%2:42:01::,state,concern%1:12:01::,an anxious feeling
collapse like a concertina,concertina%2:38:00::,instrument,concertina%1:06:00::,free-reed instrument played like an accordion by pushing its ends together to force air through the reeds
come to terms,conciliate%2:32:00::,event,conciliation%1:10:00::,any of various forms of mediation whereby disputes may be settled short of arbitration
come to terms,conciliate%2:32:00::,state,conciliation%1:26:00::,the state of manifesting goodwill and cooperation after being reconciled
cause to be more favorably inclined; gain the good will of,conciliate%2:37:00::,event,conciliation%1:04:00::,the act of placating and overcoming distrust and animosity
cause to be more favorably inclined; gain the good will of,conciliate%2:37:00::,state,conciliation%1:26:00::,the state of manifesting goodwill and cooperation after being reconciled
cause to be more favorably inclined; gain the good will of,conciliate%2:37:00::,agent,conciliator%1:18:00::,someone who tries to bring peace
decide by reasoning; draw or come to a conclusion,conclude%2:31:00::,event,conclusion%1:04:01::,the act of making up your mind about something
bring to a close,conclude%2:31:01::,event,conclusion%1:04:00::,the act of ending something
reach a conclusion after a discussion or deliberation,conclude%2:32:01::,event,conclusion%1:04:01::,the act of making up your mind about something
make a concoction (of) by mixing,concoct%2:35:00::,event,concoction%1:04:00::,the act of creating something (a medicine or drink or soup etc.) by compounding or mixing a variety of components
make a concoction (of) by mixing,concoct%2:35:00::,event,concoction%1:11:00::,an occurrence of an unusual mixture
devise or invent,concoct%2:36:00::,event,concoction%1:09:00::,the invention of a scheme or story to suit some purpose
prepare or cook by mixing ingredients,concoct%2:36:01::,event,concoction%1:04:00::,the act of creating something (a medicine or drink or soup etc.) by compounding or mixing a variety of components
prepare or cook by mixing ingredients,concoct%2:36:01::,result,concoction%1:13:00::,any foodstuff made by combining different ingredients
invent,concoct%2:36:02::,event,concoction%1:09:00::,the invention of a scheme or story to suit some purpose
be in accord; be in agreement,concord%2:32:00::,event,concord%1:10:00::,agreement of opinions
be in accord; be in agreement,concord%2:32:00::,event,concordance%1:10:02::,agreement of opinions
arrange the words of a text so as to create a concordance,concord%2:35:00::,event,concord%1:24:00::,the determination of grammatical inflection on the basis of word relations
arrange the words of a text so as to create a concordance,concord%2:35:00::,result,concordance%1:10:00::,an index of all main words in a book along with their immediate contexts
arrange by concord or agreement,concord%2:36:00::,event,concord%1:10:00::,agreement of opinions
go together,concord%2:42:00::,state,concord%1:26:00::,a harmonious state of things in general and of their properties (as of colors and sounds); congruity of parts with one another and with the whole
form into a solid mass; coalesce,concrete%2:30:00::,event,concretion%1:04:00::,the union of diverse things into one body or form or group; the growing together of parts
form into a solid mass; coalesce,concrete%2:30:00::,event,concretion%1:11:00::,an increase in the density of something
cover with cement,concrete%2:35:00::,uses,concrete%1:27:00::,a strong hard building material composed of sand and gravel and cement and water
happen simultaneously,concur%2:30:00::,property,concurrence%1:07:00::,the temporal property of two things happening at the same time
be in accord; be in agreement,concur%2:32:00::,event,concurrence%1:10:00::,agreement of results or opinions
shake violently,concuss%2:38:00::,result,concussion%1:11:00::,injury to the brain caused by a blow; usually resulting in loss of consciousness
shake violently,concuss%2:38:00::,event,concussion%1:11:01::,any violent blow
express strong disapproval of,condemn%2:32:00::,event,condemnation%1:10:00::,an expression of strong disapproval; pronouncing as wrong or morally culpable
express strong disapproval of,condemn%2:32:00::,state,condemnation%1:26:00::,the condition of being strongly disapproved of
pronounce a sentence on (somebody) in a court of law,condemn%2:32:01::,event,condemnation%1:10:00::,an expression of strong disapproval; pronouncing as wrong or morally culpable
pronounce a sentence on (somebody) in a court of law,condemn%2:32:01::,state,condemnation%1:26:00::,the condition of being strongly disapproved of
declare or judge unfit for use or habitation,condemn%2:32:02::,event,condemnation%1:04:00::,(law) the act of condemning (as land forfeited for public use) or judging to be unfit for use (as a food product or an unsafe building)
declare or judge unfit for use or habitation,condemn%2:32:02::,state,condemnation%1:26:00::,the condition of being strongly disapproved of
demonstrate the guilt of (someone),condemn%2:39:00::,event,condemnation%1:10:00::,an expression of strong disapproval; pronouncing as wrong or morally culpable
demonstrate the guilt of (someone),condemn%2:39:00::,state,condemnation%1:26:00::,the condition of being strongly disapproved of
make more concise,condense%2:30:00::,result,condensation%1:10:00::,a shortened version of a written work
make more concise,condense%2:30:00::,instrument,condenser%1:06:00::,lens used to concentrate light on an object
undergo condensation; change from a gaseous to a liquid state and fall in drops,condense%2:30:01::,event,condensation%1:22:00::,the process of changing from a gaseous to a liquid or solid state
cause a gas or vapor to change into a liquid,condense%2:30:03::,result,condensation%1:19:00::,atmospheric moisture that has condensed because of cold
cause a gas or vapor to change into a liquid,condense%2:30:03::,event,condensation%1:22:00::,the process of changing from a gaseous to a liquid or solid state
cause a gas or vapor to change into a liquid,condense%2:30:03::,instrument,condenser%1:06:02::,a hollow coil that condenses by abstracting heat
cause a gas or vapor to change into a liquid,condense%2:30:03::,instrument,condenser%1:06:03::,an apparatus that converts vapor into liquid
compress or concentrate,condense%2:30:04::,event,condensation%1:11:00::,the process or result of becoming smaller or pressed together
remove water from,condense%2:30:05::,event,condensation%1:04:00::,the act of increasing the density of something
remove water from,condense%2:30:05::,event,condensation%1:11:00::,the process or result of becoming smaller or pressed together
become more compact or concentrated,condense%2:30:06::,event,condensation%1:11:00::,the process or result of becoming smaller or pressed together
develop due to condensation,condense%2:30:07::,event,condensation%1:04:00::,the act of increasing the density of something
treat condescendingly,condescend%2:32:10::,by means of,condescension%1:10:00::,a communication that indicates lack of respect by patronizing the recipient
behave in a patronizing and condescending manner,condescend%2:41:01::,state,condescension%1:07:01::,affability to your inferiors and temporary disregard for differences of position or rank
apply conditioner to in order to make smooth and shiny,condition%2:29:00::,material,conditioner%1:06:00::,a substance used in washing (clothing or hair) to make things softer
put into a better state,condition%2:30:00::,state,condition%1:26:00::,a state at a particular time
put into a better state,condition%2:30:00::,by means of,conditioner%1:04:00::,exercise that conditions the body
specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement,condition%2:32:00::,result,condition%1:09:00::,information that should be kept in mind when making a decision
specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement,condition%2:32:00::,undergoer,condition%1:09:00::,information that should be kept in mind when making a decision
specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement,condition%2:32:00::,event,condition%1:10:01::,an assumption on which rests the validity or effect of something else
specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement,condition%2:32:00::,event,condition%1:10:02::,(usually plural) a statement of what is required as part of an agreement
specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement,condition%2:32:00::,by means of,condition%1:10:02::,(usually plural) a statement of what is required as part of an agreement
develop (a child's or animal's) behavior by instruction and practice; especially to teach self-control,condition%2:41:00::,agent,conditioner%1:18:00::,a trainer of athletes
"express one's sympathetic grief, on the occasion of someone's death",condole%2:37:00::,event,condolence%1:10:00::,an expression of sympathy with another's grief
"excuse, overlook, or make allowances for; be lenient with",condone%2:32:00::,event,condonation%1:04:00::,a pardon by treating the offender as if the offense had not occurred
lead musicians in the performance of,conduct%2:36:04::,agent,conductor%1:18:00::,the person who leads a musical group
transmit or serve as the medium for transmission,conduct%2:38:00::,event,conduction%1:19:00::,the transmission of heat or electricity or sound
transmit or serve as the medium for transmission,conduct%2:38:00::,instrument,conductor%1:06:00::,"a device designed to transmit electricity, heat, etc."
transmit or serve as the medium for transmission,conduct%2:38:00::,material,conductor%1:27:00::,a substance that readily conducts e.g. electricity and heat
make cone-shaped,cone%2:35:00::,result,cone%1:06:00::,any cone-shaped artifact
make cone-shaped,cone%2:35:00::,result,cone%1:25:00::,a shape whose base is a circle and whose sides taper up to a point
have a conference in order to talk something over,confab%2:32:01::,event,confab%1:10:00::,an informal conversation
talk socially without exchanging too much information,confabulate%2:32:00::,event,confabulation%1:10:00::,an informal conversation
have a conference in order to talk something over,confabulate%2:32:01::,event,confabulation%1:10:00::,an informal conversation
unconsciously replace fact with fantasy in one's memory,confabulate%2:36:03::,event,confabulation%1:09:00::,(psychiatry) a plausible but imagined memory that fills in gaps in what is remembered
